Age,Billing amount
38,25559.38718
51,25532.55327
78,25476.8213
19,25598.60598
50,25534.61742
61,25511.9118
71,25491.27033
58,25518.10424
49,25536.68157
74,25485.07788
50,25534.61742
34,25567.64377
61,25511.9118
50,25534.61742
38,25559.38718
72,25489.20618
24,25588.28525
21,25594.47769
40,25555.25889
39,25557.32304
32,25571.77207
42,25551.1306
39,25557.32304
80,25472.693
39,25557.32304
81,25470.62885
56,25522.23253
20,25596.54184
43,25549.06645
66,25501.59106
20,25596.54184
29,25577.96451
75,25483.01374
60,25513.97595
76,25480.94959
48,25538.74571
67,25499.52692
85,25462.37226
26,25584.15695
71,25491.27033
27,25582.0928
58,25518.10424
64,25505.71936
73,25487.14203
24,25588.28525
58,25518.10424
50,25534.61742
41,25553.19474
71,25491.27033
26,25584.15695
24,25588.28525
23,25590.34939
78,25476.8213
30,25575.90036
55,25524.29668
65,25503.65521
40,25555.25889
42,25551.1306
77,25478.88544
24,25588.28525
37,25561.45133
67,25499.52692
64,25505.71936
52,25530.48912
82,25468.56471
41,25553.19474
30,25575.90036
44,25547.0023
73,25487.14203
22,25592.41354
78,25476.8213
46,25542.87401
57,25520.16839
73,25487.14203
72,25489.20618
46,25542.87401
84,25464.43641
22,25592.41354
19,25598.60598
26,25584.15695
63,25507.7835
19,25598.60598
59,25516.04009
56,25522.23253
38,25559.38718
40,25555.25889
58,25518.10424
61,25511.9118
79,25474.75715
18,25600.67013
26,25584.15695
25,25586.2211
36,25563.51548
72,25489.20618
48,25538.74571
36,25563.51548
60,25513.97595
31,25573.83622
62,25509.84765
55,25524.29668
82,25468.56471
42,25551.1306
87,25458.24397
60,25513.97595
34,25567.64377
23,25590.34939
38,25559.38718
39,25557.32304
65,25503.65521
43,25549.06645
71,25491.27033
77,25478.88544
39,25557.32304
33,25569.70792
76,25480.94959
83,25466.50056
75,25483.01374
56,25522.23253
48,25538.74571
41,25553.19474
42,25551.1306
64,25505.71936
39,25557.32304
78,25476.8213
68,25497.46277
69,25495.39862
24,25588.28525
35,25565.57963
34,25567.64377
61,25511.9118
28,25580.02866
78,25476.8213
46,25542.87401
53,25528.42498
18,25600.67013
57,25520.16839
82,25468.56471
57,25520.16839
77,25478.88544
21,25594.47769
82,25468.56471
84,25464.43641
53,25528.42498
80,25472.693
32,25571.77207
35,25565.57963
78,25476.8213
20,25596.54184
39,25557.32304
28,25580.02866
33,25569.70792
52,25530.48912
77,25478.88544
73,25487.14203
60,25513.97595
18,25600.67013
56,25522.23253
31,25573.83622
51,25532.55327
82,25468.56471
70,25493.33447
52,25530.48912
44,25547.0023
33,25569.70792
56,25522.23253
38,25559.38718
52,25530.48912
30,25575.90036
66,25501.59106
74,25485.07788
54,25526.36083
23,25590.34939
36,25563.51548
71,25491.27033
23,25590.34939
26,25584.15695
62,25509.84765
64,25505.71936
57,25520.16839
56,25522.23253
38,25559.38718
83,25466.50056
30,25575.90036
59,25516.04009
65,25503.65521
77,25478.88544
48,25538.74571
48,25538.74571
20,25596.54184
23,25590.34939
65,25503.65521
