Age,Billing amount
38,25559.386832035332
51,25532.55325659008
78,25476.821984511473
19,25598.605134609166
50,25534.617377778173
61,25511.91204470911
71,25491.270832828148
58,25518.1044082734
49,25536.68149896627
74,25485.07846926386
50,25534.617377778173
34,25567.64331678772
61,25511.91204470911
50,25534.617377778173
38,25559.386832035332
72,25489.20671164005
24,25588.284528668682
21,25594.476892232975
40,25555.25858965914
39,25557.322710847235
32,25571.77155916391
42,25551.130347282946
39,25557.322710847235
80,25472.693742135278
39,25557.322710847235
81,25470.62962094718
56,25522.232650649596
20,25596.54101342107
43,25549.06622609485
66,25501.591438768628
20,25596.54101342107
29,25577.963922728202
75,25483.01434807576
60,25513.97616589721
76,25480.950226887664
48,25538.74562015437
67,25499.527317580534
85,25462.373136194798
26,25584.15628629249
71,25491.270832828148
27,25582.092165104394
58,25518.1044082734
64,25505.719681144823
73,25487.142590451953
24,25588.284528668682
58,25518.1044082734
50,25534.617377778173
41,25553.194468471043
71,25491.270832828148
26,25584.15628629249
24,25588.284528668682
23,25590.34864985678
78,25476.821984511473
30,25575.899801540105
55,25524.296771837693
65,25503.655559956725
40,25555.25858965914
42,25551.130347282946
77,25478.886105699567
24,25588.284528668682
37,25561.45095322343
67,25499.527317580534
64,25505.719681144823
52,25530.489135401982
82,25468.565499759086
41,25553.194468471043
30,25575.899801540105
44,25547.002104906755
73,25487.142590451953
22,25592.412771044877
78,25476.821984511473
46,25542.87386253056
57,25520.168529461498
73,25487.142590451953
72,25489.20671164005
46,25542.87386253056
84,25464.43725738289
22,25592.412771044877
19,25598.605134609166
26,25584.15628629249
63,25507.78380233292
19,25598.605134609166
59,25516.040287085307
56,25522.232650649596
38,25559.386832035332
40,25555.25858965914
58,25518.1044082734
61,25511.91204470911
79,25474.757863323375
18,25600.669255797264
26,25584.15628629249
25,25586.22040748059
36,25563.515074411527
72,25489.20671164005
48,25538.74562015437
36,25563.515074411527
60,25513.97616589721
31,25573.835680352007
62,25509.847923521014
55,25524.296771837693
82,25468.565499759086
42,25551.130347282946
87,25458.244893818603
60,25513.97616589721
34,25567.64331678772
23,25590.34864985678
38,25559.386832035332
39,25557.322710847235
65,25503.655559956725
43,25549.06622609485
71,25491.270832828148
77,25478.886105699567
39,25557.322710847235
33,25569.707437975816
76,25480.950226887664
83,25466.50137857099
75,25483.01434807576
56,25522.232650649596
48,25538.74562015437
41,25553.194468471043
42,25551.130347282946
64,25505.719681144823
39,25557.322710847235
78,25476.821984511473
68,25497.463196392437
69,25495.39907520434
24,25588.284528668682
35,25565.57919559962
34,25567.64331678772
61,25511.91204470911
28,25580.028043916296
78,25476.821984511473
46,25542.87386253056
53,25528.425014213884
18,25600.669255797264
57,25520.168529461498
82,25468.565499759086
57,25520.168529461498
77,25478.886105699567
21,25594.476892232975
82,25468.565499759086
84,25464.43725738289
53,25528.425014213884
80,25472.693742135278
32,25571.77155916391
35,25565.57919559962
78,25476.821984511473
20,25596.54101342107
39,25557.322710847235
28,25580.028043916296
33,25569.707437975816
52,25530.489135401982
77,25478.886105699567
73,25487.142590451953
60,25513.97616589721
18,25600.669255797264
56,25522.232650649596
31,25573.835680352007
51,25532.55325659008
82,25468.565499759086
70,25493.334954016245
52,25530.489135401982
44,25547.002104906755
33,25569.707437975816
56,25522.232650649596
38,25559.386832035332
52,25530.489135401982
30,25575.899801540105
66,25501.591438768628
74,25485.07846926386
54,25526.360893025787
23,25590.34864985678
36,25563.515074411527
71,25491.270832828148
23,25590.34864985678
26,25584.15628629249
62,25509.847923521014
64,25505.719681144823
57,25520.168529461498
56,25522.232650649596
38,25559.386832035332
83,25466.50137857099
30,25575.899801540105
59,25516.040287085307
65,25503.655559956725
77,25478.886105699567
48,25538.74562015437
48,25538.74562015437
20,25596.54101342107
23,25590.34864985678
65,25503.655559956725
38,25559.386832035332
39,25557.322710847235
85,25462.373136194798
55,25524.296771837693
59,25516.040287085307
57,25520.168529461498
50,25534.617377778173
82,25468.565499759086
85,25462.373136194798
43,25549.06622609485
65,25503.655559956725
28,25580.028043916296
51,25532.55325659008
75,25483.01434807576
52,25530.489135401982
77,25478.886105699567
60,25513.97616589721
76,25480.950226887664
30,25575.899801540105
34,25567.64331678772
54,25526.360893025787
53,25528.425014213884
30,25575.899801540105
61,25511.91204470911
55,25524.296771837693
22,25592.412771044877
79,25474.757863323375
74,25485.07846926386
48,25538.74562015437
79,25474.757863323375
79,25474.757863323375
30,25575.899801540105
58,25518.1044082734
33,25569.707437975816
70,25493.334954016245
54,25526.360893025787
46,25542.87386253056
85,25462.373136194798
37,25561.45095322343
81,25470.62962094718
57,25520.168529461498
39,25557.322710847235
23,25590.34864985678
43,25549.06622609485
29,25577.963922728202
20,25596.54101342107
65,25503.655559956725
32,25571.77155916391
22,25592.412771044877
32,25571.77155916391
82,25468.565499759086
35,25565.57919559962
69,25495.39907520434
62,25509.847923521014
20,25596.54101342107
23,25590.34864985678
69,25495.39907520434
36,25563.515074411527
53,25528.425014213884
32,25571.77155916391
52,25530.489135401982
52,25530.489135401982
72,25489.20671164005
69,25495.39907520434
55,25524.296771837693
33,25569.707437975816
49,25536.68149896627
69,25495.39907520434
57,25520.168529461498
66,25501.591438768628
29,25577.963922728202
77,25478.886105699567
19,25598.605134609166
48,25538.74562015437
24,25588.284528668682
80,25472.693742135278
58,25518.1044082734
69,25495.39907520434
38,25559.386832035332
66,25501.591438768628
73,25487.142590451953
76,25480.950226887664
26,25584.15628629249
22,25592.412771044877
28,25580.028043916296
46,25542.87386253056
23,25590.34864985678
73,25487.142590451953
75,25483.01434807576
28,25580.028043916296
45,25544.937983718657
49,25536.68149896627
36,25563.515074411527
38,25559.386832035332
43,25549.06622609485
50,25534.617377778173
61,25511.91204470911
37,25561.45095322343
62,25509.847923521014
50,25534.617377778173
70,25493.334954016245
61,25511.91204470911
49,25536.68149896627
81,25470.62962094718
52,25530.489135401982
31,25573.835680352007
42,25551.130347282946
40,25555.25858965914
38,25559.386832035332
61,25511.91204470911
83,25466.50137857099
53,25528.425014213884
45,25544.937983718657
39,25557.322710847235
49,25536.68149896627
24,25588.284528668682
51,25532.55325659008
57,25520.168529461498
78,25476.821984511473
44,25547.002104906755
75,25483.01434807576
19,25598.605134609166
74,25485.07846926386
20,25596.54101342107
61,25511.91204470911
83,25466.50137857099
77,25478.886105699567
30,25575.899801540105
43,25549.06622609485
85,25462.373136194798
40,25555.25858965914
74,25485.07846926386
73,25487.142590451953
29,25577.963922728202
70,25493.334954016245
59,25516.040287085307
54,25526.360893025787
65,25503.655559956725
33,25569.707437975816
57,25520.168529461498
46,25542.87386253056
23,25590.34864985678
31,25573.835680352007
21,25594.476892232975
29,25577.963922728202
79,25474.757863323375
85,25462.373136194798
29,25577.963922728202
52,25530.489135401982
80,25472.693742135278
23,25590.34864985678
37,25561.45095322343
77,25478.886105699567
20,25596.54101342107
33,25569.707437975816
21,25594.476892232975
64,25505.719681144823
53,25528.425014213884
81,25470.62962094718
45,25544.937983718657
68,25497.463196392437
56,25522.232650649596
32,25571.77155916391
35,25565.57919559962
85,25462.373136194798
47,25540.809741342462
32,25571.77155916391
19,25598.605134609166
32,25571.77155916391
73,25487.142590451953
18,25600.669255797264
71,25491.270832828148
78,25476.821984511473
63,25507.78380233292
45,25544.937983718657
32,25571.77155916391
72,25489.20671164005
79,25474.757863323375
27,25582.092165104394
48,25538.74562015437
27,25582.092165104394
28,25580.028043916296
47,25540.809741342462
55,25524.296771837693
30,25575.899801540105
19,25598.605134609166
36,25563.515074411527
53,25528.425014213884
75,25483.01434807576
80,25472.693742135278
31,25573.835680352007
38,25559.386832035332
37,25561.45095322343
24,25588.284528668682
39,25557.322710847235
53,25528.425014213884
67,25499.527317580534
22,25592.412771044877
83,25466.50137857099
37,25561.45095322343
48,25538.74562015437
83,25466.50137857099
39,25557.322710847235
59,25516.040287085307
52,25530.489135401982
13,25610.989861737744
53,25528.425014213884
85,25462.373136194798
45,25544.937983718657
70,25493.334954016245
25,25586.22040748059
50,25534.617377778173
77,25478.886105699567
37,25561.45095322343
64,25505.719681144823
32,25571.77155916391
55,25524.296771837693
19,25598.605134609166
27,25582.092165104394
56,25522.232650649596
41,25553.194468471043
19,25598.605134609166
41,25553.194468471043
45,25544.937983718657
48,25538.74562015437
27,25582.092165104394
38,25559.386832035332
51,25532.55325659008
24,25588.284528668682
35,25565.57919559962
77,25478.886105699567
51,25532.55325659008
77,25478.886105699567
72,25489.20671164005
62,25509.847923521014
24,25588.284528668682
30,25575.899801540105
60,25513.97616589721
53,25528.425014213884
18,25600.669255797264
83,25466.50137857099
56,25522.232650649596
18,25600.669255797264
80,25472.693742135278
29,25577.963922728202
31,25573.835680352007
46,25542.87386253056
29,25577.963922728202
74,25485.07846926386
18,25600.669255797264
83,25466.50137857099
58,25518.1044082734
32,25571.77155916391
67,25499.527317580534
18,25600.669255797264
64,25505.719681144823
51,25532.55325659008
84,25464.43725738289
59,25516.040287085307
46,25542.87386253056
34,25567.64331678772
19,25598.605134609166
42,25551.130347282946
39,25557.322710847235
59,25516.040287085307
70,25493.334954016245
59,25516.040287085307
79,25474.757863323375
19,25598.605134609166
44,25547.002104906755
63,25507.78380233292
81,25470.62962094718
57,25520.168529461498
31,25573.835680352007
83,25466.50137857099
27,25582.092165104394
55,25524.296771837693
64,25505.719681144823
46,25542.87386253056
55,25524.296771837693
63,25507.78380233292
76,25480.950226887664
37,25561.45095322343
17,25602.73337698536
47,25540.809741342462
59,25516.040287085307
32,25571.77155916391
77,25478.886105699567
35,25565.57919559962
38,25559.386832035332
